,timestamp,gpu_util,gpu_mem_used
112,1736122048.921925,"[97, 96, 94, 96, 95, 97]","[26660634624, 27988131840, 32639614976, 30852841472, 33667219456, 28852158464]"
113,1736122049.9233005,"[97, 96, 93, 96, 97, 97]","[26660634624, 30580211712, 33319092224, 30852841472, 33667219456, 28852158464]"
114,1736122050.9247184,"[93, 95, 97, 93, 97, 95]","[26803240960, 30582308864, 33319092224, 30898978816, 33667219456, 28852158464]"
115,1736122051.9323065,"[97, 97, 93, 95, 94, 95]","[26899709952, 30878007296, 34074066944, 31133859840, 33973403648, 28852158464]"
116,1736122052.937534,"[96, 95, 99, 97, 97, 93]","[27124105216, 32106938368, 34074066944, 31133859840, 34153758720, 28852158464]"
117,1736122053.9464455,"[92, 92, 97, 93, 96, 97]","[27633713152, 32106938368, 34074066944, 31133859840, 34153758720, 28852158464]"
118,1736122054.9518373,"[96, 95, 96, 94, 97, 95]","[27633713152, 32530563072, 34074066944, 31133859840, 34153758720, 28852158464]"
119,1736122055.953197,"[91, 89, 97, 92, 92, 92]","[27633713152, 32941604864, 34074066944, 31133859840, 34153758720, 28852158464]"
120,1736122056.9545705,"[93, 93, 97, 97, 95, 94]","[27721793536, 32941604864, 34074066944, 31133859840, 34153758720, 28852158464]"
121,1736122057.9559886,"[93, 93, 97, 94, 97, 96]","[27721793536, 33092599808, 34074066944, 31133859840, 34153758720, 28852158464]"
122,1736122058.958731,"[92, 90, 89, 90, 90, 93]","[27721793536, 33092599808, 34074066944, 31490375680, 34153758720, 28923461632]"
123,1736122059.9613554,"[97, 95, 93, 97, 94, 95]","[27721793536, 33092599808, 34074066944, 31490375680, 34153758720, 28923461632]"
124,1736122060.964138,"[95, 94, 97, 97, 96, 95]","[27721793536, 33092599808, 34074066944, 31490375680, 34153758720, 28923461632]"
125,1736122061.9655154,"[91, 91, 92, 92, 94, 90]","[27721793536, 33092599808, 22669754368, 31490375680, 34153758720, 29036707840]"
126,1736122062.9684002,"[95, 94, 96, 92, 97, 95]","[27721793536, 33092599808, 24997593088, 31632982016, 34153758720, 29036707840]"
127,1736122063.9715617,"[95, 94, 97, 97, 95, 95]","[27721793536, 33092599808, 29705699328, 31632982016, 22338404352, 29036707840]"
128,1736122064.9729762,"[95, 97, 94, 94, 93, 92]","[27721793536, 33092599808, 30104158208, 32073383936, 24638980096, 29036707840]"
129,1736122065.9757762,"[95, 96, 92, 97, 91, 93]","[27885371392, 33092599808, 31104499712, 32073383936, 26318798848, 29112205312]"
130,1736122066.977666,"[97, 97, 97, 97, 77, 97]","[27885371392, 33247789056, 33176485888, 32073383936, 27971354624, 29112205312]"
131,1736122067.978907,"[95, 92, 94, 94, 94, 94]","[27885371392, 33247789056, 33562361856, 32073383936, 27971354624, 29112205312]"
132,1736122068.984782,"[97, 97, 95, 94, 94, 97]","[27885371392, 33616887808, 33562361856, 32073383936, 29084942336, 29112205312]"
133,1736122069.9860904,"[95, 95, 95, 95, 93, 94]","[27885371392, 33616887808, 23313580032, 32073383936, 29883957248, 29112205312]"
134,1736122070.9892359,"[95, 94, 94, 96, 97, 94]","[27885371392, 33616887808, 25284902912, 32073383936, 29883957248, 29112205312]"
135,1736122071.9906538,"[95, 94, 97, 95, 94, 95]","[27885371392, 33616887808, 28841672704, 32073383936, 30102061056, 29112205312]"
136,1736122072.9920108,"[95, 95, 97, 96, 95, 95]","[27885371392, 34315239424, 29470818304, 32073383936, 30102061056, 29275783168]"
137,1736122073.9935067,"[94, 89, 97, 94, 94, 94]","[27885371392, 23594598400, 29844111360, 32073383936, 30332747776, 29275783168]"
138,1736122074.994824,"[95, 94, 97, 95, 94, 94]","[27885371392, 26046169088, 30487937024, 32274710528, 30563434496, 29275783168]"
139,1736122075.9972498,"[95, 94, 97, 95, 94, 94]","[27885371392, 28214624256, 31446335488, 32274710528, 30563434496, 29275783168]"
140,1736122076.9985728,"[97, 97, 94, 96, 97, 97]","[27990228992, 30718623744, 31446335488, 32274710528, 30563434496, 29355474944]"
141,1736122078.0030193,"[97, 96, 95, 97, 97, 97]","[27990228992, 31232425984, 31941263360, 32274710528, 30785732608, 29355474944]"
142,1736122079.0056007,"[98, 95, 94, 97, 97, 98]","[27990228992, 31920291840, 33065336832, 32719306752, 31670730752, 29355474944]"
143,1736122080.0069618,"[97, 94, 94, 97, 97, 97]","[27990228992, 31920291840, 33371521024, 32719306752, 31670730752, 29355474944]"
144,1736122081.0083208,"[97, 94, 95, 97, 97, 97]","[28183166976, 32322945024, 33371521024, 32719306752, 32098549760, 29355474944]"
145,1736122082.0108483,"[97, 97, 97, 97, 97, 97]","[28183166976, 32322945024, 34076164096, 32719306752, 32304070656, 29355474944]"
146,1736122083.01839,"[95, 96, 97, 95, 94, 94]","[28183166976, 32322945024, 34076164096, 32719306752, 32304070656, 29355474944]"
147,1736122084.0236695,"[97, 97, 100, 97, 93, 95]","[28183166976, 32830455808, 21522612224, 32719306752, 32568311808, 29355474944]"
148,1736122085.0325904,"[97, 97, 97, 97, 97, 98]","[28359327744, 33824505856, 26794852352, 33591721984, 32666877952, 29355474944]"
149,1736122086.0380278,"[95, 97, 97, 95, 94, 94]","[28359327744, 33824505856, 27065384960, 33591721984, 32666877952, 29355474944]"
