,policy,seconds,avg_gpu_util,avg_gpu_mem_used,cpu_util,cpu_mem_used
186,deepspeed_policy,189.58258509635925,91.25,19822608384.0,12.2,76516597760
187,deepspeed_policy,190.58625650405884,62.75,19822608384.0,12.1,76518817792
188,deepspeed_policy,191.60492396354675,0.0,19822608384.0,11.1,76519452672
189,deepspeed_policy,192.61341285705566,88.75,19822608384.0,11.6,76520493056
190,deepspeed_policy,193.62245988845825,91.875,19822608384.0,12.2,76520493056
191,deepspeed_policy,194.63630509376526,98.625,19822608384.0,11.9,76520976384
192,deepspeed_policy,195.6399233341217,65.875,19822608384.0,12.0,76520251392
193,deepspeed_policy,196.66075110435486,0.0,19822608384.0,11.2,76522192896
194,deepspeed_policy,197.66447496414185,75.5,19822608384.0,12.3,76524716032
195,deepspeed_policy,198.6997401714325,70.5,19822608384.0,12.3,76524568576
196,deepspeed_policy,199.72116708755493,91.625,19822608384.0,11.8,76524568576
197,deepspeed_policy,200.72476983070374,61.625,19822608384.0,11.9,76524568576
198,deepspeed_policy,201.73924922943115,67.0,19822608384.0,10.5,76524826624
199,deepspeed_policy,202.8092224597931,91.0,19822608384.0,12.1,76524818432
200,deepspeed_policy,203.833881855011,95.125,19822608384.0,12.0,76524818432
201,deepspeed_policy,204.86337113380432,90.125,19822608384.0,11.7,76524560384
202,deepspeed_policy,205.8879110813141,0.0,19822608384.0,11.4,76524560384
203,deepspeed_policy,206.89175057411194,79.5,19822608384.0,11.1,76523524096
204,deepspeed_policy,207.9615833759308,90.375,19822608384.0,12.8,76517814272
205,deepspeed_policy,208.96530628204346,91.375,19822608384.0,12.2,76517556224
206,deepspeed_policy,209.9845507144928,58.125,19822608384.0,11.7,76517556224
207,deepspeed_policy,211.01269483566284,0.0,19822608384.0,10.9,76517523456
208,deepspeed_policy,212.01629376411438,95.125,19822608384.0,11.5,76517523456
209,deepspeed_policy,213.0631251335144,92.125,19822870528.0,12.2,76517523456
210,deepspeed_policy,214.0682680606842,91.625,19822870528.0,11.8,76517523456
211,deepspeed_policy,215.11904883384705,64.25,19822870528.0,12.1,76517523456
212,deepspeed_policy,216.1265890598297,6.25,19822870528.0,10.5,76517294080
