,gpu_util
247,"[0, 0, 0, 0, 0, 0, 0, 0]"
248,"[89, 91, 84, 100, 96, 89, 89, 88]"
249,"[95, 90, 79, 94, 100, 90, 75, 88]"
250,"[100, 100, 88, 91, 89, 100, 92, 91]"
251,"[54, 58, 43, 75, 67, 56, 55, 65]"
252,"[0, 0, 0, 0, 0, 0, 32, 0]"
253,"[70, 74, 76, 72, 71, 88, 89, 78]"
254,"[88, 89, 90, 79, 69, 90, 98, 89]"
255,"[69, 74, 62, 85, 95, 71, 74, 74]"
256,"[11, 19, 31, 60, 54, 16, 37, 51]"
257,"[93, 94, 43, 86, 49, 93, 93, 83]"
258,"[79, 87, 100, 90, 71, 93, 100, 100]"
259,"[85, 93, 100, 73, 72, 96, 100, 71]"
260,"[90, 90, 54, 69, 78, 90, 70, 65]"
261,"[0, 0, 0, 0, 0, 0, 0, 0]"
262,"[56, 100, 86, 100, 100, 100, 100, 100]"
263,"[93, 99, 69, 92, 100, 90, 74, 90]"
264,"[90, 98, 77, 93, 100, 73, 85, 97]"
265,"[98, 90, 70, 81, 90, 73, 84, 91]"
266,"[0, 0, 0, 0, 0, 0, 0, 0]"
267,"[86, 78, 73, 77, 70, 75, 79, 78]"
268,"[100, 91, 98, 98, 80, 98, 98, 93]"
269,"[98, 78, 98, 98, 77, 98, 98, 85]"
270,"[71, 65, 62, 59, 64, 63, 60, 58]"
271,"[0, 0, 0, 0, 0, 0, 0, 0]"
272,"[89, 89, 87, 90, 88, 90, 89, 88]"
273,"[100, 90, 93, 91, 90, 90, 91, 90]"
274,"[91, 100, 98, 100, 100, 100, 100, 100]"
275,"[61, 72, 39, 75, 71, 64, 71, 74]"
276,"[0, 0, 0, 0, 0, 0, 0, 0]"
277,"[70, 80, 61, 83, 90, 70, 77, 73]"
278,"[67, 80, 59, 72, 72, 70, 73, 71]"
279,"[97, 75, 100, 91, 91, 91, 92, 96]"
280,"[49, 54, 54, 47, 73, 70, 74, 72]"
281,"[41, 94, 0, 100, 14, 94, 93, 100]"
282,"[89, 100, 79, 100, 81, 94, 94, 91]"
