iteration,throughput (toks/s),scheduling_policy
50,14.384864405728493,exflow
51,12.040271991675189,exflow
52,11.486986045240993,exflow
53,15.660911452004907,exflow
54,12.520290203510864,exflow
55,11.167120706676105,exflow
56,13.593526095987732,exflow
57,16.5967320709722,exflow
58,12.108187794658305,exflow
59,13.447243672481504,exflow
60,12.306256584016792,exflow
61,17.100384771540835,exflow
62,17.615665914592544,exflow
63,18.345375653279742,exflow
64,13.828131812700748,exflow
65,11.645087943216959,exflow
66,12.431310613158702,exflow
67,16.305843945580502,exflow
68,16.113836219247286,exflow
69,17.462923901373273,exflow
70,18.37206092695748,exflow
71,11.71017872735255,exflow
72,13.99629651155192,exflow
73,16.724383671980213,exflow
74,17.179728447664555,exflow
75,12.490665313989858,exflow
76,11.657242435605282,exflow
77,12.828222899450466,exflow
78,13.552242953360594,exflow
79,13.528392769091766,exflow
80,11.457349177632608,exflow
81,12.451905502211236,exflow
82,16.214058510442953,exflow
83,18.591858894147524,exflow
84,12.76728759193706,exflow
85,18.131313893632512,exflow
86,13.390246802927189,exflow
87,13.46498462867033,exflow
88,11.816122457316155,exflow
89,12.151003076761139,exflow
90,15.33338136599717,exflow
91,11.841452077273944,exflow
92,17.082108867133172,exflow
93,12.472882467314584,exflow
94,13.032998456055852,exflow
95,11.541299611431176,exflow
96,12.310220609393447,exflow
97,14.282462558713172,exflow
98,12.232807519685657,exflow
99,12.436839762385809,exflow
100,11.947653756319756,exflow
101,11.525640504533104,exflow
102,12.951452043627441,exflow
103,16.325047553698905,exflow
104,13.62064880118942,exflow
105,13.2594925229106,exflow
106,17.969588012574373,exflow
107,13.285604213877233,exflow
108,15.908269216120653,exflow
109,12.392011513631072,exflow
110,16.31201103852383,exflow
111,12.451922445345877,exflow
112,17.15140535199696,exflow
113,16.626807131553445,exflow
114,16.193382486720846,exflow
115,14.751100691209901,exflow
116,16.61347908793567,exflow
117,17.863057687659776,exflow
118,12.916191724105012,exflow
119,14.296115605859368,exflow
120,15.204787553810137,exflow
121,17.567489515871475,exflow
122,16.532100063064956,exflow
