,layer,rank,latency (ms),metadata latency (ms),first transfer latency (ms),second transfer latency (ms),comp latency (ms),wait latency (ms),other latency (ms)
7,9,7,1538.9081497192383,92.37913608551025,5.7917439937591535,269.7850889265537,5.1722239553928375,132.21273669600487,1033.5672200620174
0,10,0,1478.4317359924316,93.99705564975739,304.2600927352905,4.17894397675991,76.02995204925537,0.0,999.9656915813684
1,10,1,1493.822467803955,110.06771230697632,278.0129270553589,9.310208082199097,8.425472021102905,67.60448002815247,1020.4016683101654
2,10,2,1486.9258308410645,4.365311980247498,4.265984028577804,-28.62489640712738,5.373952031135557,70.65600001811981,1430.8894791901112
3,10,3,1490.8518333435059,98.458624958992,3.8215680420398703,292.3499533981085,4.942847952246664,71.0871040970087,1020.1917348951101
4,10,4,1473.5001640319824,76.70579171180725,291.3198070526123,4.379648134112358,63.972352266311646,12.057599782943726,1025.0649650841951
5,10,5,1496.365062713623,103.46393537521362,3.8543360233306876,278.2904303073883,5.3135359287261945,70.71641612052917,1034.726408958435
6,10,6,1490.737148284912,96.67174434661865,5.5879679918289185,261.7579529583454,5.19065597653389,70.83929607272148,1050.6895309388638
7,10,7,1489.3711395263672,92.64947238564491,3.970048010349273,263.03283102810383,4.839423969388007,71.19052807986736,1053.6888360530138
0,11,0,1582.6401329040527,98.82009673118591,3.9106560200452796,341.76409666240215,5.394431993365287,74.16319997608662,1058.5876515209675
1,11,1,1589.7927703857422,105.08390378952026,291.20102405548096,58.55949068069458,22.0938241481781,57.463807821273804,1055.3907198905945
2,11,2,1591.8847999572754,4.159487992525099,4.373504012823105,3.8041600435972205,79.5576319694519,0.0,1499.990015938878
3,11,3,1592.8975372314453,98.15756869316101,326.79321479797363,58.22361600399017,49.46636784076691,30.091264128684998,1030.1655057668686
4,11,4,1574.366195678711,76.48870396614075,297.69932746887207,59.40224012732506,13.468672126531601,66.0889598429203,1061.2182921469212
5,11,5,1596.3914260864258,105.27539110183716,3.809280052781104,340.64486345648766,5.370879977941513,74.18675199151039,1067.104259505868
6,11,6,1589.0452423095703,95.300607919693,4.024319991469382,321.92102490365505,5.207039937376975,74.35059203207493,1088.241657525301
7,11,7,1588.0253448486328,91.69612872600555,4.220927983522415,329.0449911803007,4.925439998507499,74.6321919709444,1083.5056649893522
