,layer,rank,latency (ms),metadata latency (ms),first transfer latency (ms),second transfer latency (ms),comp latency (ms),wait latency (ms),other latency (ms)
7,5,7,3862.8699951171875,256.1781749725342,201.30099296569824,179.36893844604492,1894.4962463378906,12.854293823242188,1318.6713485717773
0,6,0,817.8216934204102,2.195456013083458,4.097023993730545,0.28979355096817017,150.37235260009766,6.823934555053711,654.0431327074766
1,6,1,920.7879791259766,108.22758436203003,34.00499176979065,12.024832546710968,108.23577690124512,48.96051025390625,609.3342832922935
2,6,2,868.8752670288086,60.179455652832985,46.53056001663208,13.44819462299347,53.40364849567413,103.79263865947723,591.5207695811987
3,6,3,840.4705200195312,26.341375708580017,11.201536029577255,26.252288818359375,22.738944053649902,134.45734310150146,619.4790323078632
4,6,4,828.3013153076172,14.292992308735847,9.51603215932846,16.070656299591064,90.30758333206177,66.8887038230896,631.2253473848104
5,6,5,861.7123794555664,55.6922881603241,11.9336958527565,34.358272075653076,109.81887912750244,47.377408027648926,602.5318362116814
6,6,6,881.9814453125,76.07500839233398,47.08556717634201,25.506818294525146,118.27712059020996,38.919166564941406,576.1177642941475
7,6,7,879.7347793579102,69.19065523147583,14.332928091287613,20.78412801027298,157.19628715515137,0.0,618.2307808697224
0,7,0,746.759162902832,8.392704114317894,2.629631981253624,-0.8611841797828674,95.7388801574707,3.7171201705932617,637.1420106589794
1,7,1,738.2558822631836,27.60704004764557,19.289087772369385,-6.942720830440521,89.35833549499512,10.097664833068848,598.8464749455452
2,7,2,725.3043060302734,25.9061758518219,34.31731176376343,-12.947455316781998,83.4191370010376,16.036863327026367,578.5722734034061
3,7,3,750.5336227416992,24.477695763111115,12.131328016519547,2.6664959490299225,99.45600032806396,0.0,611.8021026849747
4,7,4,709.7804870605469,9.058303892612457,15.181824177503586,-28.261377096176147,18.92966365814209,80.52633666992188,614.345735758543
5,7,5,730.3464965820312,36.61414444446564,27.033600211143494,-19.362816989421844,72.62719917297363,26.828801155090332,586.60556858778
6,7,6,754.179069519043,39.29088008403778,44.45388853549957,8.681471526622772,59.05510377883911,40.40089654922485,562.2968290448189
7,7,7,769.9343338012695,23.975935757160187,3.2163839638233185,11.829248905181885,93.18502521514893,6.270975112915039,631.4567648470402
0,8,0,746.9015045166016,9.037823975086212,5.447679966688156,2.226176679134369,96.91852855682373,0.7229433059692383,632.5483520328999
1,8,1,762.8410797119141,52.42265605926514,27.280383944511414,-15.432702720165253,79.02515316009521,18.616318702697754,600.9292705655098
2,8,2,754.733039855957,57.602049350738525,42.058751583099365,-23.772161096334457,70.09894275665283,27.542529106140137,581.2029281556606
3,8,3,767.2360992431641,40.38041591644287,14.59712016582489,2.618367999792099,97.64147186279297,0.0,611.9987232983112
4,8,4,752.1495056152344,40.097791492938995,16.61440008878708,-13.200384020805359,81.25644779205322,16.385024070739746,610.9962261915207
5,8,5,742.0231552124023,71.181312084198,33.71519994735718,-44.197887897491455,17.554431915283203,80.08703994750977,583.6830592155457
6,8,6,772.4462127685547,49.34758448600769,50.457600116729736,9.596928834915161,52.41753649711609,45.22393536567688,565.4026274681091
7,8,7,746.8625946044922,3.4037760496139526,3.1948799788951874,2.4965113699436188,92.29209518432617,5.349376678466797,640.1259553432465
0,9,0,743.111686706543,4.078592017292976,6.19212806224823,3.291135996580124,89.11872100830078,0.0,640.4311096221209
1,9,1,786.210823059082,48.67072033882141,33.23084783554077,13.892606496810913,63.0067195892334,26.112001419067383,601.2979273796082
2,9,2,787.3996810913086,54.921215772628784,40.36812734603882,21.459967613220215,60.313599586486816,28.805121421813965,581.53164935112
3,9,3,775.0195159912109,35.91884881258011,20.52300789952278,13.946878671646118,18.332671880722046,70.78604912757874,615.5120595991611
4,9,4,761.5221710205078,25.59283186495304,14.036992013454437,19.5594220161438,85.48351907730103,3.635201930999756,613.2142041176558
5,9,5,816.1945571899414,87.42604732513428,28.44160032272339,19.07916760444641,71.21510457992554,17.903616428375244,592.1290209293365
6,9,6,763.5794067382812,29.942783892154694,45.699071645736694,26.16524577140808,50.429951906204224,38.68876910209656,572.653584420681
7,9,7,748.9515533447266,6.109183982014656,3.103744000196457,12.364798963069916,82.46271991729736,6.656001091003418,638.2551053911448
0,10,0,735.6364898681641,15.06406420469284,4.933631986379623,-11.299839317798615,79.82694387435913,15.067135334014893,632.0445537865162
1,10,1,749.2679595947266,29.688832104206085,29.302783727645874,-6.781951487064362,72.64563179016113,22.24844741821289,602.1642160415649
2,10,2,752.1873931884766,39.05023980140686,44.430335998535156,-3.345407724380493,67.0351357460022,27.858943462371826,577.158145904541
3,10,3,762.4191970825195,43.46572756767273,2.1084159761667247,6.128640040755272,94.89407920837402,0.0,615.8223342895508
4,10,4,723.0402603149414,5.588991925120354,9.778175711631775,-6.4798712730407715,17.439743995666504,77.45433521270752,619.258884742856
5,10,5,761.3183898925781,53.634047746658325,2.9921279847621918,17.388545989990234,79.31392097473145,15.580158233642578,592.4095889627934
6,10,6,741.5582733154297,32.423935770988464,39.086079835891724,14.38515329360962,61.10412788391113,33.78995132446289,560.7690252065659
7,10,7,740.2731475830078,25.04806387424469,16.149504095315933,2.7105294466018677,83.02080059051514,11.873278617858887,601.4709709584713
0,11,0,847.4951705932617,12.883967980742455,3.3546239733695984,6.638591960072517,159.01491165161133,0.0,665.6030750274658
1,11,1,827.4042816162109,24.354815900325775,27.521024107933044,-13.326335549354553,35.11398375034332,123.900927901268,629.8398655056953
2,11,2,845.6233062744141,36.64076805114746,41.2477445602417,-10.969087600708008,67.19692802429199,91.81798362731934,619.6889696121216
3,11,3,868.3694076538086,35.975167751312256,12.490751847624779,17.69267213344574,20.651008009910583,138.36390364170074,643.1959042698145
4,11,4,810.9025268554688,3.325951963663101,8.69887986779213,-22.91302227973938,103.06764888763428,55.94726276397705,662.7758056521416
5,11,5,847.0517654418945,48.9584641456604,18.713599920272827,1.4704647213220596,155.5793924331665,3.435519218444824,618.8943250030279
6,11,6,830.0462188720703,32.302080035209656,24.190975829958916,17.47353434562683,150.02623844146729,8.988673210144043,597.0647170096636
7,11,7,845.0734100341797,34.455551862716675,18.351103961467743,-2.972671002149582,152.47462463378906,6.540287017822266,636.2245135605335
