,router_skew,scheduling_policy,iteration,layer_idx,0,1,2,3,4,5,6,7
268,0.0,deepspeed,18,10,40,72,48,64,48,64,104,72
269,0.0,deepspeed,19,10,40,40,80,64,72,104,80,32
270,0.0,deepspeed,20,10,56,56,72,64,64,64,72,64
271,0.0,deepspeed,21,10,80,72,48,40,120,16,64,72
272,0.0,deepspeed,22,10,16,96,96,64,104,56,40,40
273,0.0,deepspeed,23,10,48,120,96,48,64,56,48,32
274,0.0,deepspeed,24,10,16,48,96,64,88,96,32,72
275,0.0,deepspeed,0,11,120,48,80,56,40,64,64,40
276,0.0,deepspeed,1,11,24,56,64,112,56,80,80,40
277,0.0,deepspeed,2,11,16,48,72,40,112,112,48,64
278,0.0,deepspeed,3,11,40,64,72,40,112,88,48,48
279,0.0,deepspeed,4,11,40,48,80,56,48,48,64,128
280,0.0,deepspeed,5,11,96,32,80,64,88,40,88,24
281,0.0,deepspeed,6,11,64,32,80,56,72,64,96,48
282,0.0,deepspeed,7,11,80,80,48,80,48,48,56,72
283,0.0,deepspeed,8,11,16,48,112,64,64,88,64,56
284,0.0,deepspeed,9,11,104,56,56,80,72,24,40,80
285,0.0,deepspeed,10,11,64,64,40,32,112,56,72,72
286,0.0,deepspeed,11,11,40,48,64,56,104,56,40,104
287,0.0,deepspeed,12,11,64,48,24,80,56,64,96,80
288,0.0,deepspeed,13,11,40,72,40,24,112,80,64,80
289,0.0,deepspeed,14,11,72,32,40,96,104,56,40,72
290,0.0,deepspeed,15,11,88,80,48,48,88,72,40,48
291,0.0,deepspeed,16,11,56,104,56,80,40,32,80,64
292,0.0,deepspeed,17,11,64,48,48,96,56,64,80,56
293,0.0,deepspeed,18,11,88,72,72,72,56,64,16,72
294,0.0,deepspeed,19,11,64,64,72,64,64,72,56,56
295,0.0,deepspeed,20,11,64,32,88,64,56,112,48,48
296,0.0,deepspeed,21,11,24,120,56,56,40,88,56,72
297,0.0,deepspeed,22,11,56,72,40,56,40,72,88,88
298,0.0,deepspeed,23,11,32,24,88,104,80,40,64,80
299,0.0,deepspeed,24,11,56,48,80,96,64,80,48,40
300,0.0,drop,0,0,62296,65536,64792,65536,65536,65536,65536,65536
301,0.0,drop,1,0,61680,65536,65536,65536,65536,65536,65536,65536
302,0.0,drop,2,0,62072,64928,65488,65536,65536,65536,65536,65536
303,0.0,drop,3,0,62640,65536,65536,64936,65536,65536,65536,65536
304,0.0,drop,4,0,62128,65536,65152,65536,65536,65536,65536,64848
305,0.0,drop,5,0,62120,65368,65536,64864,65536,65536,65536,65536
306,0.0,drop,6,0,62136,65536,65536,65536,64200,65424,65536,65536
307,0.0,drop,7,0,62816,65536,65272,65520,65536,65536,65384,65472
308,0.0,drop,8,0,62520,65536,65064,65232,65536,65504,65536,65536
309,0.0,drop,9,0,63416,65536,64864,65536,65328,65536,65528,65536
310,0.0,drop,10,0,62136,65536,65536,65168,65536,65536,65536,65536
311,0.0,drop,11,0,62584,65536,65536,64816,65536,65256,65536,65536
312,0.0,drop,12,0,61176,65536,65536,65536,65536,65536,65512,65536
313,0.0,drop,13,0,61048,65536,65536,65536,65536,65504,65536,65536
314,0.0,drop,14,0,62344,65536,65536,65536,65536,65536,65536,64608
315,0.0,drop,15,0,61248,65536,65536,65536,65296,65536,65536,65536
316,0.0,drop,16,0,61632,65088,65536,65536,65536,65536,65536,65536
317,0.0,drop,17,0,62176,65536,65480,65536,65536,64200,65536,65280
318,0.0,drop,18,0,62480,65536,65416,65160,65536,65536,65536,65208
319,0.0,drop,19,0,61936,65536,65536,64296,65536,65536,65536,65536
320,0.0,drop,20,0,61744,65232,65536,65536,65536,65536,65536,65536
321,0.0,drop,21,0,61936,65456,65536,65536,65536,65536,65536,65320
322,0.0,drop,22,0,62280,65536,65536,65008,64672,65536,65536,65536
323,0.0,drop,23,0,61872,65536,65536,65168,65536,65536,65272,65536
324,0.0,drop,24,0,62024,65536,64544,65536,65536,65536,65536,65536
325,0.0,drop,0,1,63568,65536,65536,65536,65536,64840,65536,65536
326,0.0,drop,1,1,62112,65536,65536,65536,64648,65160,65536,65536
327,0.0,drop,2,1,62208,65536,65536,65536,65400,65536,64832,65536
328,0.0,drop,3,1,61632,65440,65536,65488,65536,65240,65536,65536
329,0.0,drop,4,1,61312,65536,65144,65536,65536,65536,65536,65064
330,0.0,drop,5,1,62472,65248,65536,65536,65536,65536,65536,65536
331,0.0,drop,6,1,62144,65536,65536,65536,65536,65536,65536,65536
332,0.0,drop,7,1,61424,65536,65536,65368,65496,65536,65536,65536
333,0.0,drop,8,1,61272,65536,65536,65536,65536,65536,65536,65072
334,0.0,drop,9,1,61312,65536,65536,64920,65536,65536,65536,65536
335,0.0,drop,10,1,61928,65536,65536,65272,65536,65536,65536,65536
336,0.0,drop,11,1,62232,65536,65536,65536,65536,65536,65536,65536
337,0.0,drop,12,1,62392,65352,65536,65536,65536,65536,64872,65536
338,0.0,drop,13,1,62488,65536,65376,65536,64808,64936,65536,65536
339,0.0,drop,14,1,62536,65352,65536,65536,65176,65536,65536,65536
340,0.0,drop,15,1,61912,65496,65536,65536,65224,65536,65536,65536
341,0.0,drop,16,1,61544,65536,65360,65536,65536,65536,65536,65536
342,0.0,drop,17,1,63136,65536,65536,65536,65536,65416,65536,65536
343,0.0,drop,18,1,60544,65536,65536,65536,65536,65536,65536,65536
344,0.0,drop,19,1,62496,65440,64896,65280,65536,65536,65536,65536
345,0.0,drop,20,1,61248,65536,65536,65144,65536,65536,65520,65536
346,0.0,drop,21,1,62168,65488,65536,65536,65536,64808,65536,65536
347,0.0,drop,22,1,61120,65536,65448,65536,65536,65536,65536,65536
348,0.0,drop,23,1,63168,65536,65536,65512,65536,65536,65240,65536
349,0.0,drop,24,1,61392,65536,65536,65536,65536,64936,65536,65536
350,0.0,drop,0,2,62128,65208,65464,65536,65136,65536,65536,65536
351,0.0,drop,1,2,61056,65536,65536,65536,65536,65536,65536,65480
352,0.0,drop,2,2,61968,65536,65536,65536,64744,65536,65504,65536
353,0.0,drop,3,2,61872,65536,65536,65536,64864,65536,65536,65496
354,0.0,drop,4,2,62320,65536,65536,65536,65536,65536,64888,65536
355,0.0,drop,5,2,62248,65536,65536,65536,65536,65536,65536,65536
356,0.0,drop,6,2,62064,65536,65344,65536,65536,65536,65536,65088
357,0.0,drop,7,2,61744,65536,65536,65536,65232,65536,65536,65504
358,0.0,drop,8,2,62536,65536,65440,65536,65536,65536,65344,65256
359,0.0,drop,9,2,61912,65536,64640,64760,65536,65536,65536,65536
360,0.0,drop,10,2,62144,65536,65536,65256,65536,65536,64984,65328
361,0.0,drop,11,2,61536,65536,65536,65536,65536,65536,65536,65536
362,0.0,drop,12,2,62360,65536,65536,65056,65200,65400,65536,65536
363,0.0,drop,13,2,62096,65536,65536,65536,65536,65064,65536,65208
364,0.0,drop,14,2,61960,65536,65504,65536,65536,65536,65336,65536
365,0.0,drop,15,2,62128,65536,65304,65536,65536,64400,65536,65248
366,0.0,drop,16,2,61792,65536,65536,64672,65536,65536,65536,65536
367,0.0,drop,17,2,62120,65536,65536,65304,65368,65536,65536,65536
368,0.0,drop,18,2,61248,65536,65536,65536,65536,65536,65536,64800
369,0.0,drop,19,2,62128,65536,65200,65320,65536,65536,65536,65536
370,0.0,drop,20,2,61272,65536,65536,65536,65536,65536,65536,65536
371,0.0,drop,21,2,62336,65272,65536,65536,64464,65536,65424,65536
372,0.0,drop,22,2,62128,65032,65536,65536,65136,65536,65536,65536
373,0.0,drop,23,2,61376,65536,64680,65536,65536,65536,65536,65536
374,0.0,drop,24,2,61432,65168,65536,65536,65240,65536,65536,65536
375,0.0,drop,0,3,61920,65536,65536,65536,65536,65536,65536,65536
376,0.0,drop,1,3,61584,65384,65536,65536,65136,65536,65536,65536
377,0.0,drop,2,3,61912,65536,65536,65536,65488,64776,65536,65536
378,0.0,drop,3,3,63008,65536,65448,65128,65536,65536,65240,65280
379,0.0,drop,4,3,62560,65536,64680,65536,65296,65536,65536,65536
380,0.0,drop,5,3,62600,65536,65536,65376,65536,65536,65536,65536
381,0.0,drop,6,3,62096,65536,65536,65536,65536,64392,65536,65536
382,0.0,drop,7,3,62768,65536,65496,65536,65536,65536,65536,65536
