,dataset,iteration,layer_idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
33,bookcorpus,13,1,1145,746,54,3507,4929,529,2099,526,1814,941,832,1355,242,6992,3658,181,1823,881,4633,1282,359,687,2013,1707,1218,881,2318,275,1290,35,4312,3018,1440,2313,1212,2977,1733,27,61,432,1227,5069,1631,137,1964,1505,577,1176,5398,448,302,2324,1420,3921,284,1584,406,73,1362,1019
34,bookcorpus,14,1,1481,857,84,3315,4723,729,2186,611,1578,1162,861,1635,178,6981,3536,246,2580,1158,4679,1338,365,769,1470,1846,1789,856,2071,448,844,117,3508,2250,979,2300,1327,2319,1828,30,108,505,1356,5050,1562,67,1513,1697,551,1258,6028,441,322,2194,1626,3956,464,1967,474,57,1329,745
35,bookcorpus,15,1,1136,909,113,2974,4599,562,2055,657,2449,1150,1152,1756,183,7170,3472,237,3009,923,3780,936,349,836,1963,1326,982,864,2215,466,1002,49,3442,2263,811,2330,1027,3048,1844,19,122,433,1734,4903,1846,60,2011,1363,615,783,6082,392,257,2293,1546,4692,321,1957,732,59,1316,729
36,bookcorpus,16,1,1558,768,90,3043,4210,849,1691,492,2703,1067,1111,1205,164,6556,3309,265,2406,1003,5460,959,307,711,2378,2152,1325,869,2019,449,1474,77,3531,2354,761,2289,1221,2818,2225,43,149,505,1011,4897,1268,108,1812,1543,588,1322,6700,327,522,2183,1413,3174,567,1741,669,53,1109,731
37,bookcorpus,17,1,2078,1162,221,3326,4644,771,1903,574,2206,1349,762,1273,211,7259,3376,192,3110,868,4475,1114,358,480,1781,1078,1307,698,2562,432,1066,95,3239,3134,1007,2391,1534,2704,1833,29,88,419,1129,4928,1654,89,2020,1491,736,1251,6386,363,388,2283,1249,3291,306,1513,379,43,1149,547
38,bookcorpus,18,1,1198,890,181,2920,3913,717,1790,321,2255,1371,564,1361,188,6482,3379,216,2986,1058,5182,1197,351,752,1802,1912,1282,776,2285,432,1203,68,3413,3017,896,2238,1651,2901,1549,20,59,571,1015,4843,2072,61,2044,1816,504,1321,6071,440,513,1994,1855,4229,358,1361,474,59,1229,698
39,bookcorpus,19,1,1228,629,209,2902,4337,843,1813,752,1811,1332,939,1259,138,6709,3348,211,2989,1148,4403,1316,664,1053,1832,1397,1139,875,2080,431,852,53,3540,2505,988,2534,1245,3148,2179,24,139,525,1322,5350,1764,60,1844,1637,496,1100,6265,262,477,2365,1549,3967,425,1681,202,53,1024,942
40,bookcorpus,0,2,5303,3566,170,339,515,1115,4146,22,265,2214,134,1059,986,873,2270,1527,546,657,1026,802,803,2222,995,7362,149,2235,919,7058,16,76,3526,306,514,1588,59,1542,84,1154,512,305,24,5131,244,841,287,7805,411,270,68,4044,681,677,0,1117,113,3892,3926,4739,975,4099
41,bookcorpus,1,2,5122,5194,177,315,452,1243,4052,15,552,2242,215,1509,797,1501,1995,1737,1041,496,1696,1145,1251,2219,1290,6799,257,2122,724,5069,49,76,3780,502,839,1735,23,1252,96,986,718,497,13,4248,207,1089,441,6478,863,293,74,4426,333,603,0,724,49,3039,3200,5000,1056,4388
42,bookcorpus,2,2,4729,4109,134,693,516,1198,4505,26,390,1906,129,1020,679,1269,1828,1318,480,543,825,929,855,2126,940,7462,219,2204,846,6108,22,22,3094,346,577,1752,63,1676,69,1136,813,372,20,4980,171,816,567,7615,719,266,97,4086,780,811,0,878,47,3334,3322,5543,1407,4917
43,bookcorpus,3,2,4994,4220,121,421,675,1174,4046,18,281,2108,160,1183,795,1245,1887,1480,490,543,869,968,711,2633,1361,7088,141,2870,766,6236,10,5,3552,294,811,1779,43,1584,158,1160,502,336,14,5609,264,934,523,7294,436,265,71,4486,575,722,0,1197,130,2743,2768,5136,1086,4333
44,bookcorpus,4,2,4817,3822,238,541,505,1318,4415,20,319,2298,141,1147,642,1203,1561,1220,530,740,773,873,820,2727,1030,7259,38,2023,928,5676,23,35,3720,289,851,1714,74,1498,49,1182,383,269,12,5366,216,1196,570,7660,397,365,109,4478,660,849,0,941,145,2546,2879,5792,1431,4981
45,bookcorpus,5,2,5343,4386,87,466,531,1187,4332,43,480,2328,90,631,603,1067,1653,1759,566,339,1347,1006,868,2382,1194,7596,93,2492,715,6066,10,56,2926,300,884,1865,11,1271,66,1044,601,297,1,4650,182,750,335,7746,723,312,84,4626,326,1026,0,1049,87,3008,2587,5516,1228,5087
46,bookcorpus,6,2,4966,4094,210,661,385,1344,4270,23,322,2348,110,1046,929,1278,1743,2501,946,272,650,814,781,2308,1315,7600,217,2581,859,4737,52,12,3516,354,744,1455,33,1205,29,1105,426,214,13,5049,187,683,387,7352,513,307,105,5705,350,1023,0,730,57,3375,2780,5457,1224,4552
47,bookcorpus,7,2,5738,3844,109,248,320,1505,4219,7,354,2779,200,1190,731,1328,2291,2030,543,537,1476,871,812,2328,1329,6782,284,1841,804,5813,27,2,3458,446,722,1168,83,1409,193,1041,597,311,11,4227,219,797,624,6763,528,227,95,4338,402,591,0,933,53,3135,3439,5452,1393,5307
48,bookcorpus,8,2,4472,4369,318,466,434,1136,4792,10,481,1832,177,1499,940,992,2121,1401,701,419,1074,851,866,2512,1087,7015,211,1943,855,6616,17,12,3530,179,635,1556,64,1307,76,1184,546,273,12,4627,191,920,838,7547,631,343,61,4936,419,1151,0,993,110,3240,3315,4578,1148,4275
49,bookcorpus,9,2,5292,4287,222,451,412,1226,3959,15,394,2441,127,1249,847,1053,2251,1557,640,378,1205,724,794,2304,1221,6808,269,2429,750,5997,26,19,3351,210,701,2058,70,1384,50,1065,609,249,20,4217,260,701,486,7154,739,270,96,5037,937,783,0,889,80,2673,2799,5546,1170,5353
50,bookcorpus,10,2,4689,4675,263,556,429,1037,4154,47,312,2349,150,962,1180,1127,1627,1811,720,519,867,1107,799,3009,1131,6802,166,2164,648,5907,12,15,3869,330,567,1322,87,1130,29,1069,776,368,14,4753,262,785,550,7151,564,215,81,4618,593,965,0,841,60,3459,2790,5326,1227,5269
51,bookcorpus,11,2,4939,4731,155,284,345,1024,4722,7,389,2940,248,991,577,1668,2139,1312,899,660,993,727,1279,2140,1233,6647,124,2367,809,5092,7,83,3657,276,534,1492,29,1782,107,1018,553,289,3,4657,318,742,741,6464,932,281,160,3966,460,674,0,1046,43,2778,3156,5536,1205,5874
