,dataset,scheduling_policy,iteration,layer_idx,0,1,2,3,4,5,6,7
161,bookcorpus,deepspeed,11,5,8525,164786,59358,148167,11876,52412,44156,35008
162,bookcorpus,deepspeed,12,5,8166,162625,61812,147665,12865,51720,43154,36281
163,bookcorpus,deepspeed,13,5,7783,162259,61475,149449,13560,50703,43487,35572
164,bookcorpus,deepspeed,14,5,8084,165816,60046,150323,12840,49744,42661,34774
165,bookcorpus,deepspeed,15,5,8357,162454,59335,148667,13057,53993,42476,35949
166,bookcorpus,deepspeed,16,5,8529,159540,62416,146872,13818,52003,45732,35378
167,bookcorpus,deepspeed,17,5,8576,162840,59018,150255,12846,52077,43086,35590
168,bookcorpus,deepspeed,18,5,8161,163961,61752,148346,12428,49575,44993,35072
169,bookcorpus,deepspeed,19,5,7841,164616,60661,148949,12530,51224,42966,35501
170,bookcorpus,deepspeed,20,5,8234,161656,62408,146206,14115,51156,44324,36189
171,bookcorpus,deepspeed,21,5,7875,164184,61424,146639,13372,52069,42519,36206
172,bookcorpus,deepspeed,22,5,8608,161918,60861,149410,11729,51625,44314,35823
173,bookcorpus,deepspeed,23,5,8601,162736,60480,149878,13042,48574,45363,35614
174,bookcorpus,deepspeed,24,5,8105,163868,61528,146655,12503,53655,42178,35796
175,bookcorpus,deepspeed,25,5,7536,161675,61563,151124,12754,50806,43942,34888
176,bookcorpus,deepspeed,26,5,7684,159324,62206,150426,12525,52067,43113,36943
177,bookcorpus,deepspeed,27,5,7152,164553,58611,150727,12992,55585,39226,35442
178,bookcorpus,deepspeed,28,5,8545,162460,59887,149228,13246,50824,43817,36281
179,bookcorpus,deepspeed,29,5,7905,163688,60276,149156,12636,52870,42704,35053
180,bookcorpus,deepspeed,0,6,0,0,512,0,0,0,0,0
181,bookcorpus,deepspeed,1,6,0,0,512,0,0,0,0,0
182,bookcorpus,deepspeed,2,6,0,0,512,0,0,0,0,0
183,bookcorpus,deepspeed,3,6,0,0,511,1,0,0,0,0
184,bookcorpus,deepspeed,4,6,0,0,512,0,0,0,0,0
185,bookcorpus,deepspeed,5,6,0,0,511,1,0,0,0,0
186,bookcorpus,deepspeed,6,6,0,0,512,0,0,0,0,0
