,dataset,scheduling_policy,iteration,layer_idx,0,1,2,3,4,5
157,bookcorpus,deepspeed,17,7,17533,16883,19239,6064,23309,15276
158,bookcorpus,deepspeed,18,7,20024,18700,15569,5486,24353,14172
159,bookcorpus,deepspeed,19,7,17520,17651,16730,6414,24508,15481
160,bookcorpus,deepspeed,0,8,9465,32519,15304,7254,17149,16613
161,bookcorpus,deepspeed,1,8,8325,31856,19099,7066,15071,16887
162,bookcorpus,deepspeed,2,8,9702,33155,18303,6999,15749,14396
163,bookcorpus,deepspeed,3,8,9382,32681,17413,6968,16187,15673
164,bookcorpus,deepspeed,4,8,9538,33630,19177,6588,13799,15572
165,bookcorpus,deepspeed,5,8,8740,33994,17853,5944,16001,15772
166,bookcorpus,deepspeed,6,8,9071,33785,20534,6270,13708,14936
167,bookcorpus,deepspeed,7,8,8154,32641,20639,7107,14007,15756
168,bookcorpus,deepspeed,8,8,8919,33612,17078,5670,16172,16853
169,bookcorpus,deepspeed,9,8,8799,32731,17675,7421,15154,16524
170,bookcorpus,deepspeed,10,8,8505,32603,17607,8811,14738,16040
171,bookcorpus,deepspeed,11,8,8885,33603,18126,6757,15380,15553
172,bookcorpus,deepspeed,12,8,8516,34636,18476,7275,13645,15756
173,bookcorpus,deepspeed,13,8,8981,33405,18129,7562,13697,16530
174,bookcorpus,deepspeed,14,8,8119,32816,19288,8844,14107,15130
175,bookcorpus,deepspeed,15,8,9799,32197,17101,6406,16818,15983
176,bookcorpus,deepspeed,16,8,8129,32797,17229,7171,16102,16876
177,bookcorpus,deepspeed,17,8,8817,33762,16391,7885,15853,15596
178,bookcorpus,deepspeed,18,8,9425,31363,17640,6890,15826,17160
179,bookcorpus,deepspeed,19,8,8103,31546,19146,7607,16014,15888
180,bookcorpus,deepspeed,0,9,16765,25346,17230,17265,16653,5045
181,bookcorpus,deepspeed,1,9,16253,24818,19102,18857,13617,5657
182,bookcorpus,deepspeed,2,9,15916,25738,17882,18658,15090,5020
183,bookcorpus,deepspeed,3,9,15244,23739,20513,19683,14107,5018
184,bookcorpus,deepspeed,4,9,16115,23860,18814,20499,14105,4911
185,bookcorpus,deepspeed,5,9,16165,24266,18557,19038,14518,5760
186,bookcorpus,deepspeed,6,9,15167,26157,16240,22135,13152,5453
187,bookcorpus,deepspeed,7,9,17441,24955,14169,18431,17261,6047
188,bookcorpus,deepspeed,8,9,14160,24680,18207,21968,14082,5207
