,router_skew,iteration,layer_idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
20,0.0,20,0,0,4016,4136,3776,3984,4472,4256,4040,4208,3920,4264,4120,4256,3880,4272,4144,4096,4208,4184,4088,4032,4024,3952,4176,4000,4016,3888,3936,4120,4496,4048,3968,4088,4184,4400,3896,4016,4104,4224,4160,4216,3928,4192,4224,3888,3688,4208,4184,4016,4280,4280,4368,4248,4056,4000,3920,4304,4120,3992,3904,4168,3968,4368,3776,4128,4344,4048,4104,4128,3920,4104,4072,3776,3920,4408,4104,4176,4104,4176,4320,3968,4304,4344,4168,4168,4392,4032,4176,4288,4328,4120,3768,4008,4048,4248,4208,3864,4296,4040,4240,4088,3976,4040,4520,4224,4192,4648,3896,4424,4224,4248,4112,4248,4040,3952,4296,3872,4184,4272,4280,4584,4440,4112,3984,3944,4088,4120,4096
21,0.0,21,0,0,4024,4144,3768,4376,4000,3792,4360,4088,4056,4176,4656,4320,4224,3960,3992,4280,4096,4088,4128,4032,3880,3856,4456,3944,3952,3976,4144,4328,3880,4480,3936,4024,4336,3936,4232,4280,4176,4544,4112,4128,4368,4248,4016,4056,3920,4144,4168,4152,4408,4176,4576,3864,4096,4152,4240,4416,3936,4000,4224,4240,4168,4264,3960,3696,4368,4216,4008,4224,4240,4464,4296,4000,4008,4072,4016,4048,4296,4192,4056,3824,4264,4312,4224,4088,4080,3952,4232,4088,4224,4136,4040,4088,4048,3856,4112,4128,4280,4176,4064,4232,4040,4360,4304,4160,3736,4216,3976,4248,4256,4312,3760,4224,3968,3952,3992,3848,4232,4256,4168,3992,4288,4272,4016,4208,4016,3960,3928
22,0.0,22,0,0,4200,4232,4432,4480,4016,3856,4080,4040,4256,3864,4112,4304,4152,4088,4168,3632,4336,4344,4144,4400,3592,4408,4376,4280,4512,3992,4120,4288,3984,4040,3968,4032,4128,4168,4272,3840,4256,4216,3976,4160,4080,3992,4304,4408,4080,3920,4128,4048,3816,4200,3944,4088,4080,4232,3992,4392,3976,3816,4024,3864,4288,4072,4176,4176,4072,3984,4280,3696,3880,4064,4104,4232,4080,4120,3832,4008,3944,4120,4080,4064,3920,4312,4120,4344,4160,4040,3744,4192,4168,4200,4200,4344,3888,4024,4320,4640,4200,4032,4320,4208,4184,4328,4144,3704,4104,4592,3768,4400,4216,4328,4144,4272,4192,4008,4344,4104,4184,4112,3776,4096,4136,4176,4320,4312,4152,4040,4376
23,0.0,23,0,0,4216,4368,4000,4256,4088,3840,4160,4008,4056,3792,4208,4152,4216,4304,4208,4160,3960,4400,4488,4120,4472,4376,4264,3832,4024,4152,4008,3944,4160,4120,4008,4296,4120,4248,4120,4312,4472,3944,4136,3928,4440,4152,4032,3832,3792,4056,4000,4080,4160,4008,4368,4160,4064,4048,3864,4216,4016,3920,4016,4248,3824,3952,4224,4080,3928,4008,4064,4144,4208,3976,4200,4720,4296,4224,4224,4688,4184,4136,3744,4112,4104,4312,4200,4016,4352,4168,4072,4248,4136,4184,4400,3952,3936,4048,4232,4232,3760,4120,3848,4144,3920,4336,3928,4032,3840,4336,4096,4144,4264,4112,4160,4288,4048,4144,4008,4104,4072,4384,4112,4216,3936,4032,4272,4120,4304,4152,4120
24,0.0,24,0,0,4528,4152,4064,3872,4168,3872,4072,4488,4008,4280,4104,4200,4000,4112,4104,4264,4216,3960,4424,4480,3920,4008,4160,4112,4136,4208,3944,4192,4416,4016,4376,3888,4024,4008,4032,4232,3944,3904,4040,4088,4072,3872,4192,4056,4024,3824,4344,4104,3904,4104,4080,4064,4296,4000,4000,4216,4416,4080,4152,4040,4312,4160,3856,4240,4192,4288,3752,4192,4080,4128,4040,4168,3872,4264,4352,4296,4224,4320,4032,4040,4152,4392,3976,3808,4168,4440,4152,4320,4264,4064,4208,3992,3968,3808,4368,4304,3808,4096,4048,4200,4288,4232,3928,4232,4384,4008,4544,4304,4160,4224,4096,4136,4120,4064,3944,3968,4008,3976,4160,4392,4168,4432,3960,4120,4040,4048,4152
25,0.0,0,1,0,4240,4336,4088,4136,4024,4512,4336,4232,4184,4120,4520,4328,4120,4248,4144,3808,4184,4112,4344,3912,4152,4112,3976,4288,4264,4464,3960,3840,4072,4104,4256,4200,4120,4048,4344,4312,3648,4272,3952,4264,4144,4200,4280,4136,4112,3872,3824,3936,4336,4168,4056,3992,4200,4392,3896,3808,4168,4256,4208,4088,3888,4168,4352,3840,4216,4512,4216,4000,3744,4408,4416,4328,4208,3984,4224,3984,4160,4016,4280,4320,4048,3976,3896,3992,3904,4032,3896,4008,4264,4008,3864,4368,4128,4144,3992,4416,4184,3688,4296,3776,4080,4056,4144,4208,3976,4024,4240,4384,4000,4208,3984,4320,3800,4632,4416,4144,4304,4136,4416,4104,4152,3904,3912,4032,4192,4048,3680
26,0.0,1,1,0,3968,4104,4176,4256,4168,4064,4128,4480,4224,4280,3840,4192,4000,3936,4296,3992,4304,4352,3928,4360,4288,4152,4112,4136,3872,4192,4672,4160,4352,4008,4096,4144,4376,3864,4344,3856,4440,4096,4080,4088,4040,3976,3880,4328,3888,4336,4056,4208,3952,4152,4040,3920,4216,4032,4224,4224,4336,4048,4360,4184,4536,4144,4256,4120,4072,3600,3928,3752,4080,4400,3920,3776,4104,4160,4096,4272,4056,4064,4248,4016,3960,4112,3968,3856,4008,4080,4144,4192,4320,3936,3928,4248,4128,4184,4080,4256,4192,4000,3864,4200,4144,4160,3664,4464,4280,4464,4440,4288,4152,4192,4232,3592,4256,3936,4000,4280,4088,3984,4320,4040,4080,4432,4072,4384,4144,3968,4200
27,0.0,2,1,0,4216,4168,4000,4136,4136,4216,4304,4216,3920,4288,3888,4128,4216,4352,4024,3880,4176,3976,4168,4040,4216,4264,4056,4216,4248,4168,3832,4504,4424,4072,4544,4160,3984,4176,4024,4360,4408,3904,4088,4240,4280,4328,3968,4008,4168,3864,4096,3768,4144,4272,4064,4312,3984,3624,4408,4160,4216,4216,3888,4280,4368,4216,4360,4144,4104,4304,3976,4064,4128,3960,4128,3880,4272,4456,3768,4048,3920,4096,4152,4416,4248,4200,4080,4144,4096,4520,3840,4112,4232,4072,3856,4240,4136,4008,3944,3856,3744,3856,4192,4056,4136,4008,4112,3864,4184,4056,4040,4168,4080,4216,4264,4184,3976,4016,4136,4216,4152,4208,4096,4288,4128,4136,4024,4392,4024,4440,4168
28,0.0,3,1,0,4000,3920,4008,3800,4088,4200,4320,4200,3960,4200,4320,4360,4112,4032,4112,4104,4272,4360,4176,3920,4136,3976,3984,3760,4176,4128,3976,4216,4064,4288,3904,4064,4232,4208,4032,4264,4136,4080,4392,4144,3960,4160,4120,3776,4192,3960,4392,4056,3952,4120,3952,4240,4208,3952,4056,4184,4224,4144,4264,3912,4088,4024,4112,4536,4512,4320,4112,4320,4112,4320,4304,4432,4184,3960,3912,3936,3880,4272,4312,4392,4136,4320,4120,4016,4024,3992,4040,4352,3888,3936,4120,4080,3800,3912,4112,3896,4152,4304,4264,4400,4376,3848,4176,3904,4072,4136,4112,3816,4128,4040,4256,4024,4240,4408,4296,4048,4128,4096,4120,4048,4328,4352,4304,3944,4120,4288,4328
29,0.0,4,1,0,3968,4080,3808,4320,4168,3800,4336,4280,4200,4112,4152,3904,4144,4072,3968,4168,4048,3952,4184,4304,4152,4248,3912,3960,4312,3992,3816,4224,4080,4200,4016,3896,4032,4152,3984,4280,4288,3872,3976,4256,3800,4024,4032,4120,4008,4320,4104,4256,3984,4360,4368,4040,4096,4000,4416,4128,3808,4432,4216,3856,4128,4216,4208,4432,4208,4312,4296,4328,4136,4120,3992,4376,4296,4248,4064,4088,4440,4328,4096,4192,4512,4048,3928,4240,4376,4192,4024,3952,3888,4136,4128,3936,4200,4312,4128,4288,4160,3800,4256,4400,4176,4096,4384,4040,4080,4032,4024,4176,4160,4440,4224,3888,3928,4368,3792,3904,4016,4360,4472,3848,4144,4184,4176,3808,3912,4200,4064
