iteration,throughput (toks/s),scheduling_policy
129,79.97038328765274,even_split
130,84.21105242500464,even_split
131,82.67716226102797,even_split
132,84.99009469017422,even_split
133,83.58404123100789,even_split
134,84.81186109721595,even_split
135,81.53934577722454,even_split
136,71.16443862561417,even_split
137,81.03189299980616,even_split
138,82.94868853551942,even_split
139,78.50641847409193,even_split
140,79.67197113519084,even_split
141,83.07770793996045,even_split
142,80.66064663851003,even_split
143,78.40810394361263,even_split
144,79.83152123384077,even_split
145,72.3722049793265,even_split
146,82.5150885799977,even_split
147,80.74800740789176,even_split
148,80.98136694118962,even_split
149,119.46838517011926,even_split
150,81.34490334977643,even_split
151,79.855753863765,even_split
152,79.31397040818474,even_split
153,80.5543731529792,even_split
154,80.76689713709163,even_split
155,81.32658311872987,even_split
156,79.36823835208182,even_split
157,80.92464270037961,even_split
158,80.03810431651486,even_split
159,79.63113347021216,even_split
160,81.52016421835422,even_split
161,79.5718290829302,even_split
162,79.81113245742225,even_split
163,82.98000960604772,even_split
164,82.50281714209142,even_split
165,78.4779326778095,even_split
166,79.92515182358764,even_split
167,80.6934529887636,even_split
168,79.61256460808076,even_split
169,79.85707234120407,even_split
170,79.49705680960315,even_split
171,78.24989303640974,even_split
172,82.82377450348939,even_split
173,83.09248188202518,even_split
174,82.9560230838529,even_split
175,82.49414279443421,even_split
176,79.65862183266006,even_split
177,80.65591156183784,even_split
178,82.96457047823422,even_split
179,82.87353375438683,even_split
0,126.2211154516746,exflow
1,93.64583602406158,exflow
2,123.00189579965009,exflow
3,98.30344000319009,exflow
4,112.91853253340464,exflow
5,98.450826973887,exflow
6,97.01919052444163,exflow
7,103.4759091793743,exflow
8,125.81737704480915,exflow
9,120.51219718051875,exflow
10,117.24841675365147,exflow
11,109.65914762213242,exflow
12,84.6934081502186,exflow
13,96.98586672700118,exflow
14,103.8889795558907,exflow
15,119.34342635779923,exflow
16,106.74155131771909,exflow
17,88.06325019388416,exflow
18,91.01319705408746,exflow
19,114.33095148495133,exflow
20,110.31283795853048,exflow
21,110.09930159341263,exflow
22,95.2908156930296,exflow
23,90.90944032829643,exflow
24,116.98518615794227,exflow
25,108.62939750212365,exflow
26,121.37554771545082,exflow
27,101.46070953648375,exflow
28,120.58127230279212,exflow
29,100.31087047506428,exflow
30,110.74293320914063,exflow
31,97.24786977365767,exflow
32,114.61865173588549,exflow
33,99.391449876892,exflow
34,105.65982589686591,exflow
35,112.82822877473969,exflow
36,94.81457964259673,exflow
37,113.06914877983256,exflow
38,123.67468128643176,exflow
39,131.55132873469086,exflow
40,108.66758749338122,exflow
41,118.39281778460803,exflow
42,115.21496532275863,exflow
43,92.45740823715936,exflow
44,95.98800808996221,exflow
45,89.55976579633605,exflow
46,111.66268457544666,exflow
47,92.98674432654097,exflow
48,109.89448793367245,exflow
49,101.89108355686017,exflow
50,108.01806608995487,exflow
51,96.81788331066693,exflow
52,93.42994932338364,exflow
53,117.0898279652441,exflow
54,102.1352522326347,exflow
55,92.03774832166441,exflow
56,106.12076877583485,exflow
57,121.43316358258325,exflow
58,97.78277832193305,exflow
59,103.02126385737833,exflow
60,102.60345900752634,exflow
61,126.2867780216012,exflow
62,126.28424315047083,exflow
63,130.4273075555139,exflow
64,103.33385617909246,exflow
65,92.2628552888092,exflow
66,96.49860903142189,exflow
67,117.89272885911542,exflow
68,114.51403583347584,exflow
69,59.543434051861304,exflow
70,134.2058880583202,exflow
71,92.28605969335555,exflow
72,105.98525737819841,exflow
73,121.6625330906984,exflow
74,121.46312786875751,exflow
75,104.92290357800819,exflow
76,93.8590469631075,exflow
77,102.48760961365969,exflow
78,107.76285668202041,exflow
79,102.49915842657845,exflow
80,90.20533991675143,exflow
81,99.555525079849,exflow
82,116.31985101316249,exflow
83,132.77487815188766,exflow
84,64.79734819774195,exflow
85,125.5877299174545,exflow
86,86.46808920026078,exflow
87,90.70289377449454,exflow
88,70.87503749227272,exflow
89,91.28226342857687,exflow
90,114.45210398056523,exflow
91,93.052142527994,exflow
92,123.71199538563386,exflow
93,101.37743242648966,exflow
94,68.57657023463737,exflow
95,89.10039605272028,exflow
96,98.5239148711822,exflow
97,110.1066075474044,exflow
98,102.37563080077373,exflow
99,98.91374269053733,exflow
100,95.97280128722268,exflow
101,69.10094441500945,exflow
102,98.89205685173799,exflow
103,124.37996385858513,exflow
104,107.28250115856545,exflow
105,102.73538306357305,exflow
106,130.71084321704873,exflow
107,76.14203334779744,exflow
108,104.75867943447152,exflow
109,86.2840454457856,exflow
110,118.20455670339153,exflow
111,98.37145425403195,exflow
112,124.55484607784484,exflow
113,122.35624199795797,exflow
