iteration,throughput (toks/s),system_name
10,26.2331936238696,fastermoe
11,24.375597595452422,fastermoe
12,17.168594133294945,fastermoe
13,19.046541593552618,fastermoe
14,23.15728286042201,fastermoe
15,29.210804800095644,fastermoe
16,23.930797423850564,fastermoe
17,17.419471930061366,fastermoe
18,17.79560194666833,fastermoe
19,24.959644853686125,fastermoe
20,25.88762935354282,fastermoe
21,25.48090816997584,fastermoe
22,19.713657243484093,fastermoe
23,17.83113725487417,fastermoe
24,28.84070686928419,fastermoe
25,21.36629343030277,fastermoe
26,35.53020762924987,fastermoe
27,21.261949369238224,fastermoe
28,31.985083860389967,fastermoe
29,20.64010019122121,fastermoe
30,27.57999017498446,fastermoe
31,18.776573736302048,fastermoe
32,24.632180133497837,fastermoe
33,19.121466343920964,fastermoe
34,21.237761892525167,fastermoe
35,24.898692156525676,fastermoe
36,18.09124330541677,fastermoe
37,24.017717079315997,fastermoe
38,30.057062357255276,fastermoe
39,34.03346435528881,fastermoe
40,23.580832451560266,fastermoe
41,26.944930391419447,fastermoe
42,25.515882774757593,fastermoe
43,18.248008528752177,fastermoe
44,18.951492282311136,fastermoe
45,17.196457024017025,fastermoe
46,23.637189243716897,fastermoe
47,18.24554443385926,fastermoe
48,23.05768837406931,fastermoe
49,19.450134529234628,fastermoe
50,22.39243175714995,fastermoe
51,18.589119128788685,fastermoe
52,17.113298362100505,fastermoe
53,26.774082919274235,fastermoe
54,20.075716437895554,fastermoe
55,17.355429488850543,fastermoe
56,21.1934953721541,fastermoe
57,27.856836158129553,fastermoe
58,18.309987802229504,fastermoe
59,20.59029918979232,fastermoe
60,19.922666327838055,fastermoe
61,29.853078197616398,fastermoe
62,30.79652138584092,fastermoe
63,32.3008883576534,fastermoe
64,21.41858841102087,fastermoe
65,17.573120186360452,fastermoe
66,19.043504071631197,fastermoe
67,25.956551403686195,fastermoe
68,25.326125712698527,fastermoe
69,31.94319590317968,fastermoe
70,34.55090307872584,fastermoe
71,17.258435843016812,fastermoe
72,20.83992455970735,fastermoe
73,27.35443898605475,fastermoe
74,28.399873832627357,fastermoe
75,19.89074399340343,fastermoe
76,17.572494378068235,fastermoe
77,19.82481940429018,fastermoe
78,21.33434611289327,fastermoe
79,20.924709680718426,fastermoe
80,17.186357285942016,fastermoe
81,19.005029956580234,fastermoe
82,26.856938259878927,fastermoe
83,32.05090278317284,fastermoe
84,17.71465175113436,fastermoe
85,30.994254889071236,fastermoe
86,21.569697132027038,fastermoe
87,21.01380151980798,fastermoe
88,17.41952618917339,fastermoe
89,18.232434740036922,fastermoe
90,24.350460989013378,fastermoe
91,17.616393454672348,fastermoe
92,30.618924284671845,fastermoe
93,19.379554219391085,fastermoe
94,17.712497881907293,fastermoe
95,17.435550418631767,fastermoe
